Player Name,Year
Oscar Robertson,1961
Wilt Chamberlain,1960
Walt Bellamy,1962
Terry Dischinger,1963
Jerry Lucas,1964
Willis Reed,1965
Rick Barry,1966
Dave Bing,1967
Earl Monroe,1968
Wes Unseld,1969
Lew Alcindor,1970
Geoff Petrie,1971
Sidney Wicks,1972
Bob McAdoo,1973
Ernie DiGregorio,1974
Marvin Webster,1975
Alvan Adams,1976
Adrian Dantley,1977
Walter Davis,1978
Phil Ford,1979
Larry Bird,1980
Darrell Griffith,1981
Buck Williams,1982
Terry Cummings,1983
Ralph Sampson,1984
Michael Jordan,1985
Patrick Ewing,1986
Chuck Person,1987
Mark Jackson,1988
Mitch Richmond,1989
David Robinson,1990
Derrick Coleman,1991
Larry Johnson,1992
Shaquille O'Neal,1993
Chris Webber,1994
Grant Hill,1995
Damon Stoudamire,1996
Allen Iverson,1997
Tim Duncan,1998
Vince Carter,1999
Elton Brand,2000
Mike Miller,2001
Pau Gasol,2002
Amare Stoudemire,2003
LeBron James,2004
Emeka Okafor,2005
Chris Paul,2006
Brandon Roy,2007
Kevin Durant,2008
Derrick Rose,2009
Tyreke Evans,2010
Blake Griffin,2011
Kyrie Irving,2012
Damian Lillard,2013
Michael Carter-Williams,2014
Andrew Wiggins,2015
Karl-Anthony Towns,2016
Malcolm Brogdon,2017
Ben Simmons,2018
Luka Dončić,2019
Ja Morant,2020
LaMelo Ball,2021
