| Season   | Lg  | Player                 | Voting | Age | Tm  | G  | MP  | PTS | TRB | AST | STL | BLK | FG%  | 3P%  | FT%  |
| -------- | --- | ----------------------| ------ | --- | --- | -- | --- | --- | --- | --- | --- | --- | ---- | ---- | ---- |
| 2022-23  | NBA | Paolo Banchero         | (V)    | 20  | ORL | 72 | 33.8| 20.0| 6.9 | 3.7 | 0.8 | 0.5 | .427 | .298 | .738 |
| 2021-22  | NBA | Scottie Barnes         | (V)    | 20  | TOR | 74 | 35.4| 15.3| 7.5 | 3.5 | 1.1 | 0.7 | .492 | .301 | .735 |
| 2020-21  | NBA | LaMelo Ball            | (V)    | 19  | CHO | 51 | 28.8| 15.7| 5.9 | 6.1 | 1.6 | 0.4 | .436 | .352 | .758 |
| 2019-20  | NBA | Ja Morant              | (V)    | 20  | MEM | 67 | 31.0| 17.8| 3.9 | 7.3 | 0.9 | 0.3 | .477 | .335 | .776 |
| 2018-19  | NBA | Luka Dončić            | (V)    | 19  | DAL | 72 | 32.2| 21.2| 7.8 | 6.0 | 1.1 | 0.3 | .427 | .327 | .713 |
| 2017-18  | NBA | Ben Simmons            | (V)    | 21  | PHI | 81 | 33.7| 15.8| 8.1 | 8.2 | 1.7 | 0.9 | .545 | .000 | .560 |
| 2016-17  | NBA | Malcolm Brogdon        | (V)    | 24  | MIL | 75 | 26.4| 10.2| 2.8 | 4.2 | 1.1 | 0.2 | .457 | .404 | .865 |
| 2015-16  | NBA | Karl-Anthony Towns     | (V)    | 20  | MIN | 82 | 32.0| 18.3| 10.5| 2.0 | 0.7 | 1.7 | .542 | .341 | .811 |
| 2014-15  | NBA | Andrew Wiggins         | (V)    | 19  | MIN | 82 | 36.2| 16.9| 4.6 | 2.1 | 1.0 | 0.6 | .437 | .310 | .760 |
| 2013-14  | NBA | Michael Carter-Williams| (V)    | 22  | PHI | 70 | 34.5| 16.7| 6.2
